  Layer  Stave Chip     X         Y           Z        r         phi
    02    17    01    3.5130   -2.9966     -9.7572   4.6174   -0.7062
    02    17    02    3.5179   -2.9960     -6.7419   4.6208   -0.7054
    02    17    03    3.5243   -2.9958     -3.7265   4.6256   -0.7045
    02    17    04    3.5286   -2.9949     -0.7094   4.6282   -0.7038
    02    17    05    3.5333   -2.9937      2.3062   4.6310   -0.7029
    02    17    06    3.5375   -2.9937      5.3225   4.6343   -0.7023
    02    17    07    3.5413   -2.9933      8.3382   4.6368   -0.7017
    02    17    08    3.5460   -2.9932     11.3555   4.6404   -0.7011
    02    18    00    4.2561   -1.9517    -12.7835   4.6822   -0.4300
    02    18    01    4.2583   -1.9496     -9.7689   4.6833   -0.4293
    02    18    02    4.2615   -1.9482     -6.7522   4.6857   -0.4288
    02    18    03    4.2664   -1.9471     -3.7367   4.6897   -0.4281
    02    18    04    4.2687   -1.9451     -0.7207   4.6909   -0.4276
    02    18    05    4.2736   -1.9439      2.2970   4.6949   -0.4269
    02    18    06    4.2785   -1.9433      5.3148   4.6992   -0.4263
    02    18    07    4.2825   -1.9427      8.3318   4.7026   -0.4259
    02    18    08    4.2889   -1.9429     11.3487   4.7085   -0.4254
    02    19    00    4.6409   -0.7242    -12.7963   4.6970   -0.1548
    02    19    01    4.6431   -0.7233     -9.7795   4.6991   -0.1545
    02    19    02    4.6465   -0.7221     -6.7635   4.7023   -0.1542
    02    19    03    4.6500   -0.7203     -3.7477   4.7055   -0.1537
    02    19    04    4.6543   -0.7188     -0.7297   4.7095   -0.1532
    02    19    05    4.6580   -0.7167      2.2875   4.7128   -0.1527
    02    19    06    4.6631   -0.7150      5.3065   4.7176   -0.1522
    02    19    07    4.6666   -0.7136      8.3249   4.7208   -0.1517
    02    19    08    4.6699   -0.7118     11.3417   4.7238   -0.1513
