  Layer  Stave Chip     X         Y           Z        r         phi
    00    10    03    2.4484   -1.8766     -3.7020   3.0849   -0.6540
    00    10    04    2.4446   -1.8711     -0.6871   3.0785   -0.6533
    00    10    05    2.4414   -1.8656      2.3276   3.0726   -0.6525
    00    10    06    2.4387   -1.8615      5.3411   3.0680   -0.6520
    00    10    07    2.4350   -1.8555      8.3554   3.0614   -0.6511
    00    10    08    2.4336   -1.8532     11.3700   3.0589   -0.6508
    00    11    00    3.1000   -0.7596    -12.7375   3.1917   -0.2403
    00    11    01    3.0968   -0.7571     -9.7237   3.1881   -0.2398
    00    11    02    3.0929   -0.7532     -6.7092   3.1833   -0.2389
    00    11    03    3.0907   -0.7484     -3.6945   3.1800   -0.2376
    00    11    04    3.0868   -0.7421     -0.6796   3.1748   -0.2359
    00    11    05    3.0852   -0.7350      2.3362   3.1716   -0.2339
    00    11    06    3.0825   -0.7289      5.3497   3.1676   -0.2322
    00    11    07    3.0800   -0.7247      8.3634   3.1641   -0.2311
    00    11    08    3.0789   -0.7216     11.3775   3.1623   -0.2302
    01    00    00    3.9031    0.5166    -12.7551   3.9372    0.1316
    01    00    01    3.9041    0.5187     -9.7417   3.9384    0.1321
    01    00    02    3.9052    0.5200     -6.7275   3.9397    0.1324
    01    00    03    3.9063    0.5205     -3.7128   3.9408    0.1325
    01    00    04    3.9080    0.5202     -0.6989   3.9424    0.1323
    01    00    05    3.9091    0.5201      2.3156   3.9435    0.1323
    01    00    06    3.9087    0.5194      5.3301   3.9431    0.1321
    01    00    07    3.8285    0.5686      8.3338   3.8705    0.1474
    01    00    08    3.9099    0.5184     11.3578   3.9441    0.1318
    01    01    00    3.3811    1.7092    -12.7608   3.7885    0.4680
    01    01    01    3.3809    1.7079     -9.7471   3.7878    0.4678
    01    01    02    3.3811    1.7062     -6.7328   3.7872    0.4673
    01    01    03    3.3820    1.7050     -3.7189   3.7875    0.4669
    01    01    04    3.3829    1.7040     -0.7042   3.7878    0.4666
    01    01    05    3.3839    1.7042      2.3103   3.7889    0.4665
    01    01    06    3.3854    1.7053      5.3252   3.7907    0.4666
    01    01    07    3.3088    1.7650      8.2696   3.7502    0.4900
    01    01    08    3.3911    1.7110     11.3540   3.7983    0.4673
    01    02    00    2.4499    2.6184    -12.7489   3.5858    0.8186
    01    02    01    2.4503    2.6186     -9.7343   3.5863    0.8186
    01    02    02    2.4510    2.6187     -6.7203   3.5868    0.8185
    01    02    03    2.4517    2.6191     -3.7066   3.5876    0.8184
    01    02    04    2.4524    2.6207     -0.6922   3.5892    0.8186
    01    02    05    2.4535    2.6223      2.3221   3.5911    0.8186
    01    02    06    2.4567    2.6240      5.3367   3.5946    0.8183
    01    02    07    2.4602    2.6251      8.3515   3.5977    0.8178
    01    02    08    2.4643    2.6268     11.3666   3.6017    0.8173
    01    03    00    1.2370    3.0981    -12.7651   3.3359    1.1909
    01    03    01    1.2384    3.1015     -9.7509   3.3396    1.1909
    01    03    02    1.2416    3.1040     -6.7356   3.3431    1.1903
    01    03    03    1.2452    3.1071     -3.7212   3.3473    1.1896
    01    03    04    1.2498    3.1101     -0.7067   3.3518    1.1887
    01    03    05    1.2539    3.1122      2.3076   3.3553    1.1878
    01    03    06    1.2566    3.1135      5.3221   3.3575    1.1872
    01    03    07    1.2599    3.1145      8.3369   3.3597    1.1864
    01    03    08    1.2627    3.1149     11.3516   3.3611    1.1857
    01    04    00   -0.0370    3.1200    -12.6963   3.1202    1.5827
    01    04    01   -0.0387    3.1179     -9.6816   3.1181    1.5832
    01    04    02   -0.0392    3.1161     -6.6679   3.1164    1.5834
    01    04    03   -0.0401    3.1140     -3.6538   3.1143    1.5837
    01    04    04   -0.0418    3.1127     -0.6396   3.1130    1.5842
    01    04    05   -0.0446    3.1117      2.3743   3.1120    1.5851
    01    04    06   -0.0477    3.1120      5.3881   3.1123    1.5861
    01    04    07   -0.0500    3.1106      8.4019   3.1110    1.5869
    01    04    08   -0.0514    3.1110     11.4161   3.1114    1.5873
    01    05    00   -1.2366    2.5555    -12.7113   2.8390    2.0215
    01    05    01   -1.2304    2.6185     -9.6909   2.8932    2.0101
    01    05    02   -1.2334    2.6203     -6.6749   2.8960    2.0107
    01    05    03   -1.2358    2.6202     -3.6605   2.8970    2.0115
    01    05    04   -1.2374    2.6200     -0.6462   2.8975    2.0120
    01    05    05   -1.2390    2.6202      2.3686   2.8983    2.0125
    01    05    06   -1.2395    2.6196      5.3837   2.8981    2.0128
    01    05    07   -1.2405    2.6199      8.3979   2.8988    2.0130
    01    05    08   -1.2402    2.6186     11.4119   2.8974    2.0131
    01    06    00   -2.1389    1.7097    -12.6976   2.7383    2.4673
    01    06    01   -2.1420    1.7089     -9.6828   2.7402    2.4682
    01    06    02   -2.1434    1.7082     -6.6681   2.7409    2.4687
    01    06    03   -2.1445    1.7062     -3.6533   2.7404    2.4695
    01    06    04   -2.1446    1.7044     -0.6382   2.7394    2.4701
    01    06    05   -2.1447    1.7026      2.3772   2.7384    2.4706
    01    06    06   -2.1445    1.7009      5.3924   2.7371    2.4710
    01    06    07   -2.1441    1.7006      8.4068   2.7366    2.4710
    01    06    08   -2.1436    1.6993     11.4207   2.7354    2.4713
    01    07    00   -2.6252    0.5241    -12.7064   2.6770    2.9445
    01    07    01   -2.6257    0.5211     -9.6898   2.6769    2.9457
    01    07    02   -2.6282    0.5183     -6.6744   2.6788    2.9469
    01    07    03   -2.6300    0.5155     -3.6575   2.6800    2.9480
    01    07    04   -2.6306    0.5137     -0.6416   2.6803    2.9487
    01    07    05   -2.6305    0.5116      2.3745   2.6798    2.9495
    01    07    06   -2.6295    0.5095      5.3902   2.6784    2.9502
    01    07    07   -2.6276    0.5077      8.4049   2.6762    2.9507
    01    07    08   -2.6264    0.5060     11.4187   2.6747    2.9513
    01    08    00   -2.6373   -0.7584    -12.6987   2.7441   -2.8616
    01    08    01   -2.6391   -0.7610     -9.6836   2.7466   -2.8609
    01    08    02   -2.6397   -0.7635     -6.6691   2.7479   -2.8600
    01    08    03   -2.6395   -0.7660     -3.6548   2.7484   -2.8592
    01    08    04   -2.6382   -0.7676     -0.6400   2.7476   -2.8584
    01    08    05   -2.6362   -0.7691      2.3742   2.7461   -2.8577
    01    08    06   -2.6345   -0.7707      5.3887   2.7449   -2.8570
    01    08    07   -2.6326   -0.7728      8.4031   2.7436   -2.8561
    01    08    08   -2.6313   -0.7754     11.4178   2.7432   -2.8550
    01    09    00   -2.1597   -2.0452    -12.6989   2.9744   -2.3834
    01    09    01   -2.1369   -1.9413     -9.6709   2.8870   -2.4041
    01    09    02   -2.1369   -1.9461     -6.6558   2.8903   -2.4029
    01    09    03   -2.1357   -1.9500     -3.6411   2.8921   -2.4016
    01    09    04   -2.1347   -1.9543     -0.6265   2.8942   -2.4003
    01    09    05   -2.1316   -1.9575      2.3883   2.8941   -2.3987
    01    09    06   -2.1282   -1.9597      5.4030   2.8931   -2.3974
    01    09    07   -2.1243   -1.9613      8.4176   2.8912   -2.3961
    01    09    08   -2.1194   -1.9615     11.4325   2.8877   -2.3949
    01    10    00   -1.2115   -2.8212    -12.6841   3.0703   -1.9764
    01    10    01   -1.2103   -2.8257     -9.6700   3.0740   -1.9755
    01    10    02   -1.2071   -2.8288     -6.6546   3.0756   -1.9741
    01    10    03   -1.2038   -2.8318     -3.6391   3.0770   -1.9728
    01    10    04   -1.2004   -2.8351     -0.6243   3.0787   -1.9713
    01    10    05   -1.1963   -2.8385      2.3915   3.0803   -1.9696
    01    10    06   -1.1928   -2.8424      5.4062   3.0825   -1.9681
    01    10    07   -1.1889   -2.8445      8.4205   3.0830   -1.9667
    01    10    08   -1.1841   -2.8450     11.4359   3.0815   -1.9652
    01    11    00   -0.0311   -3.3298    -12.6520   3.3300   -1.5801
    01    11    01   -0.0251   -3.3446     -9.6821   3.3447   -1.5783
    01    11    02   -0.0209   -3.3466     -6.6676   3.3466   -1.5770
    01    11    03   -0.0159   -3.3490     -3.6529   3.3491   -1.5755
    01    11    04   -0.0107   -3.3505     -0.6381   3.3505   -1.5740
    01    11    05   -0.0048   -3.3521      2.3783   3.3521   -1.5722
